Country	Age of Paper	Paper Count	Citation Count	Citation Average (per paper)
france	13	494	2958	5.987854251012146
france	14	412	2487	6.036407766990291
france	15	382	2361	6.180628272251309
france	16	334	2129	6.374251497005988
france	17	306	1984	6.483660130718954
france	18	233	1546	6.635193133047211
france	19	207	1438	6.946859903381642
france	20	165	1262	7.648484848484848
japan	1	1626	5136	3.158671586715867
japan	2	1809	8080	4.466556108347153
japan	3	1772	9855	5.561512415349887
japan	4	1714	10719	6.253792298716453
japan	5	1638	11076	6.761904761904762
japan	6	1536	10589	6.893880208333333
japan	7	1463	10880	7.4367737525632265
japan	8	1400	11286	8.061428571428571
japan	9	1329	11475	8.63431151241535
japan	10	1243	10911	8.77795655671762
japan	11	1153	10330	8.959236773633998
japan	12	1078	9833	9.12152133580705
japan	13	984	8879	9.023373983739837
japan	14	870	7942	9.128735632183908
japan	15	801	7123	8.892634207240949
japan	16	723	6466	8.9432918395574
japan	17	643	5682	8.836702954898911
japan	18	561	4816	8.584670231729055
japan	19	478	3754	7.853556485355648
japan	20	398	2782	6.989949748743719
china	1	2447	12294	5.0241111565181855
china	2	2157	16804	7.79044969865554
china	3	1814	16619	9.161521499448732
china	4	1486	14903	10.028936742934052
china	5	1317	13406	10.179195140470767
china	6	1147	11736	10.231909328683523
china	7	941	8126	8.635494155154092
china	8	795	6563	8.255345911949686
china	9	673	5846	8.686478454680534
china	10	560	5410	9.660714285714286
china	11	471	4465	9.479830148619957
china	12	356	3647	10.24438202247191
china	13	276	2704	9.797101449275363
china	14	201	1822	9.064676616915422
china	15	169	1405	8.31360946745562
china	16	124	855	6.895161290322581
china	17	91	608	6.681318681318682
china	18	70	422	6.0285714285714285
china	19	52	295	5.673076923076923
china	20	37	156	4.216216216216216
germany	1	2845	12208	4.29103690685413
germany	2	3015	19918	6.606301824212272
germany	3	2940	25977	8.835714285714285
germany	4	2735	29225	10.685557586837295
germany	5	2546	31266	12.280439905734486
germany	6	1794	16901	9.420847268673356
germany	7	1634	16662	10.197062423500611
germany	8	1415	13884	9.812014134275618
germany	9	1294	13192	10.194744976816073
germany	10	1098	11854	10.7959927140255
germany	11	1005	10968	10.913432835820895
germany	12	850	9396	11.054117647058824
germany	13	749	8575	11.448598130841122
germany	14	649	7942	12.23728813559322
germany	15	574	6947	12.102787456445993
germany	16	461	5353	11.6117136659436
germany	17	412	5000	12.135922330097088
germany	18	309	3760	12.168284789644012
germany	19	264	3248	12.303030303030303
germany	20	203	2315	11.403940886699507
united kingdom	1	2793	15369	5.5026852846401715
united kingdom	2	2810	22830	8.124555160142348
united kingdom	3	2657	26511	9.977794505080919
united kingdom	4	2487	26971	10.844792923200643
united kingdom	5	2357	26429	11.212982605006363
united kingdom	6	2178	25606	11.756657483930212
united kingdom	7	2042	25987	12.726248775710088
united kingdom	8	1866	25212	13.511254019292604
united kingdom	9	1707	23301	13.650263620386644
united kingdom	10	1551	22601	14.571889103803997
united kingdom	11	1403	20771	14.804704205274412
united kingdom	12	1242	19175	15.438808373590982
united kingdom	13	1099	17353	15.789808917197453
united kingdom	14	946	15530	16.416490486257928
united kingdom	15	839	12836	15.299165673420738
united kingdom	16	702	10480	14.92877492877493
united kingdom	17	613	7248	11.823817292006526
united kingdom	18	510	5567	10.915686274509804
united kingdom	19	431	4254	9.870069605568446
united kingdom	20	363	3336	9.190082644628099
united states	1	8371	52912	6.320869669095687
united states	2	8209	79184	9.645998294554756
united states	3	7493	91947	12.271052982783932
united states	4	6836	94611	13.84011117612639
united states	5	6410	100831	15.730265210608424
united states	6	5933	101217	17.0600033709759
united states	7	5510	102100	18.52994555353902
united states	8	5065	94396	18.63692003948667
united states	9	4637	90411	19.497735604916972
united states	10	4197	89054	21.218489397188467
united states	11	3829	85465	22.320449203447374
united states	12	3338	81339	24.367585380467347
united states	13	2989	77860	26.048845767815322
united states	14	2620	72170	27.545801526717558
united states	15	2384	65347	27.410654362416107
united states	16	2118	59566	28.12370160528801
united states	17	1889	51208	27.108523028057174
united states	18	1607	42160	26.235220908525203
united states	19	1421	32455	22.839549612948627
united states	20	1236	22637	18.31472491909385
