Country (Citing Country)	Year	Gini-Coefficient
united states	2012	0.9123349860224106
united kingdom	2012	0.9084877526945541
germany	2012	0.9134786030140496
china	2012	0.9113936670508646
japan	2012	0.9241202745397098
france	2012	0.9164854121353037
canada	2012	0.92374706553811
india	2012	0.9004859959461946
italy	2012	0.9146678495999739
spain	2012	0.9092201713326861
all countries	2012	0.9147029864766223
united states	2013	0.9068949655614869
united kingdom	2013	0.904068214592619
germany	2013	0.9087105272735929
china	2013	0.9091931816843174
japan	2013	0.9219548709541537
france	2013	0.9114917845072488
canada	2013	0.9198116920468659
india	2013	0.8993285452437052
italy	2013	0.9097865104855464
spain	2013	0.9058895537594757
all countries	2013	0.9109861796517679
united states	2014	0.9025103287156644
united kingdom	2014	0.9006115219643394
germany	2014	0.9026736121298843
china	2014	0.9059189331883271
japan	2014	0.9180641357694981
france	2014	0.9021141649048627
canada	2014	0.9105900307819651
india	2014	0.8990438807569009
italy	2014	0.9028722367543731
spain	2014	0.900064892926671
all countries	2014	0.905707015369047
united states	2015	0.8995348443902151
united kingdom	2015	0.8980621797280343
germany	2015	0.8989647006143462
china	2015	0.9021089933678687
japan	2015	0.9161110462138435
france	2015	0.900297502762924
canada	2015	0.9058679143621604
india	2015	0.8967356677104934
italy	2015	0.9001390154325906
spain	2015	0.8926529632539058
all countries	2015	0.9022964240972423
united states	2016	0.8953462658774295
united kingdom	2016	0.895456895660267
germany	2016	0.8898256255469548
china	2016	0.9001150467658959
japan	2016	0.9136385555287665
france	2016	0.896315444719974
canada	2016	0.9026231011474556
india	2016	0.8922367508413185
italy	2016	0.898130426568315
spain	2016	0.888005129744332
all countries	2016	0.8983748830641785
united states	2017	0.8923526554266759
united kingdom	2017	0.8913919118831757
germany	2017	0.8869899539529568
china	2017	0.8981695428020293
japan	2017	0.9113824412071525
france	2017	0.8913476215283763
canada	2017	0.8994771155309935
india	2017	0.891323154671407
italy	2017	0.8926268430059279
spain	2017	0.8848825997016568
all countries	2017	0.8951770740882738
united states	2018	0.8891037960072121
united kingdom	2018	0.8879891149181034
germany	2018	0.8852827796401262
china	2018	0.8986234936478769
japan	2018	0.9088811608691282
france	2018	0.8869558731913625
canada	2018	0.8956152253088625
india	2018	0.8887597018340011
italy	2018	0.8884529283326842
spain	2018	0.8784461969627847
all countries	2018	0.8918907890760444
united states	2019	0.8872071076297373
united kingdom	2019	0.8835160110779152
germany	2019	0.8835341992994681
china	2019	0.8983031670602779
japan	2019	0.9063191917654241
france	2019	0.8825955023875596
canada	2019	0.8945324783465115
india	2019	0.8856196783349094
italy	2019	0.8842274258462539
spain	2019	0.875289222549925
all countries	2019	0.8891270865318346
united states	2020	0.8839043643646509
united kingdom	2020	0.8758732991844004
germany	2020	0.8788384384490849
china	2020	0.8958907130490275
japan	2020	0.9024946191030665
france	2020	0.8755917075679085
canada	2020	0.8911120895310702
india	2020	0.8800096043768513
italy	2020	0.8764645781269423
spain	2020	0.8712343102349595
all countries	2020	0.8841193928204825
united states	2021	0.8805757792223741
united kingdom	2021	0.8698890914242172
germany	2021	0.8766395553260654
china	2021	0.8934928623849453
japan	2021	0.8999594131749575
france	2021	0.8732813225100284
canada	2021	0.8859202529625922
india	2021	0.8754935282817132
italy	2021	0.8732555906991779
spain	2021	0.8688998520516946
all countries	2021	0.8806673480703295
