Aarseth, Paul
guez, Carlos
Guglielmo, Eugene J.
Guhe, Markus
Guida, Giovanni
Guilbaud, Jean-Philippe
Guillaume, Bruno
Guillaume, Jacquet
Guillaume, Pierre
Guindon, Raymonde
Guinn, Curry I.
Guinness, Jethran
Guirao, Jos� M.
Gulla, Jon Atle
Gul-Rajani, Greg
Gumede, Tebogo
Gunnarsson, Magnus
Guo, Cheng-Ming
GuoDong, Zhou
Guo, Jiaqing
Guo, Weiwei
Guo, Wenyuan
Guo, Xi S.
Guo, Yikun
Guo, Yuhang
Guo, Zhili
Gupta, Anurag
Gupta, Kapil Kumar
Gupta, Mayank
Gupta, Mridul
Gupta, Naman K.
Gupta, Narendra
Gupta, Prahlad
Gupta, Prashant
Gupta, Rahul
Gupta, Samir
Gupta, Vineet
Gurrutxaga, Antton
Gustafson, Joakim
Guthrie, David
Guthrie, Joe A.
Gutwin, Carl
Guy, Jacques B. M.
Guyomard, Marc
Guzey, Cemaleddin
Gyamfi, Yaw
Gyepesi, Gy&#246
Gyimothy, Tibor
Haack, Jereme
Haas, Andrew R.
Haase, Kenneth
Haas, Norman
Habash, Nizar
Habel, Christopher U.
Haberbeck, Rolf
Habert, Benoit
Habrard, Amaury
Hachey, Ben
Hacioglu, Kadri
Hacken, Pius ten
Hacken, ten Pius
HaCohen-Kerner, Yaakov
Haddock, Nicholas J.
Haddow, Barry
Haduch, Leszek
Haertel, Robbie
Haffari, Gholamreza
Haffner, Patrick
Hafiz, Rahmatullah
Hagen, Andreas
Hagen, Eli
Hagert, Goran
Haghighi, Aria
Hagiwara, Masato
Hahn, Sangyun
Hahn, Stefan
Hahn, Udo
Hahn, Walther V.
Haida, Andreas
Haider, Peter
Haigh, Robin
Hain, Horst-Udo
Hairetakis, Nikolaos
Haji-Abdolhosseini, Mohammad
Haji�~C8d>, Jan
Hajic, Jan
Hajič, Jan
Hajlaoui, Najeh
Hakenberg, Jorg
Hakoda, Keita
Hakulinen, Jaakko
Halacsy, Peter
Hal�csy, P�ter
Hale, John
Hall, Brian S.
Hall, David
Halldorsson, Magnus M.
Haller, Johann
Hall, Gary
Hall, Johan
Hall, Keith
Hall, Keith B.
Hall, Sam
Halpern, Jack
Halpin, Harry
Halteren, Hans van
Halvorsen, Per-Kristian
Hamabe, Ryoji
Hamadou, Abdelmajid Ben
Hamamoto, Takeshi
Hamburger, Henry
Hamerich, Stefan
Hammarstr�m, Harald
hamme, Hugo Van
Hammerton, James
Hammo, Bassam
Hamon, Olivier
Hamon, Thierry
Hampton, Tom
Hana, Jiri
Hana, Jirka
Hanakata, Kenji
Hanazawa, Ken
Han, Benjamin
Han, Dingyi
Handschuh, Siegfried
Hanks, Patrick
Han, Kyoung-Soo
Hanna, Philip
Hanneforth, Thomas
Hanneman, Greg
Hansen, John P.
Hansen, Steffen Leo
Han, Xiwu
Han, Young Kyoon
Han, Young S.
Haque, Rejwanul
Harada, Ken'ichi
Harada, Susumu
Harada, Takashi
Harada, Yasunari
Hara, Kazuo
Hara, Masami
Hara, Sunao
Hara, Tadayoshi
Hardcastle, David
Hardt, Daniel
Hargraves, Orin
Harkema, Henk
Harley, Andrew
Harmeling, Stefan
Harnad, Stevan
Haro, Luis Fernando
Harper, Kenneth E.
Harrington, Jonathan
Harris, Brian
Harris, Dave
Harris, Larry R.
Harrison, Phil
Harrison, Philip
Harris, Thomas
Hartard, Felix
Hartholt, Arno
Hartley, Anthony
Hartley, Roger
Hartmann, Knut
Hartman, Steven Lee
Hartono, Rachmat
Hartrumpf, Sven
Hart, Ted
Hartung, Matthias
Haruechaiyasak, Choochart
Haruno, Masahiko
Harvey, Terrence
Hasan, Kazi Saidul
Hasan, Maruf
Hasan, Sadid
Hasebe, Koichi
Hasegawa-Johnson, Mark
Hasegawa, Takaaki
Hasegawa, Toshihiro
Hasegawa, Yuji
Hashimoto, Kei
Hashimoto, Mantaro J.
Hashimoto, Taiichi
Hashim, Raza
Hashish, M. A.
Hasida, Koiti
Haskell, Benjamin R.
Hassan, Ahmed
Hassan, Hany
Hassan, Samer
Hassel, Martin
Hassoun, Mohamed
Hastie, Trevor
Hastings, Peter M.
Hathaway, Chris
Hathout, Nabil
Hatvani, Csaba
Hatzivassiloglou, Vasileios
Haugeneder, Hans
Haug, Peter
Hauptmann, Alexander G.
Hauser, Bob
Hausman, Kevin
Havelka, Jiri
Havranek, T.
Hawker, Tobias
Haxton, Isaac
Hayakawa, Daichi
Hayamizu, Satoru
Hayase, Yoshikazu
Hayashi, Yoshihiko
Hayes, Bruce
Hayes, Jer
Hayes, Philip J.
Hayes, William S.
Hays, David G.
Hazen, Timothy J.
Headden III, William P.
Heafield, Kenneth
Healey, Patrick
Healey, Patrick G.T.
Hebnreich, Stephen
Hecht-Nielsen, Robert
He, Daqing
Hedlund, Gregory
Heeman, Peter A.
Heeringa, Wilbert
Hefner, David
Hegde, Jayprasad
Hegner, Stephen J.
He, Hongzhao
Heider, Paul M.
Heidlage, F.
Heidorn, George E.
Heid, Ulrich
Heilman, Michael
Heimonen, Juho
Heinecke, Johannes
Heinonen, Oskari
Heinrich, Christian
Heinroth, Tobias
Heintzelman, Norris
Heintze, Silvan
Heinze, Daniel T.
Heinze, Terry
Heinz, Jeffrey
Heinz, Wolfgang
Heisterkamp, Paul
He, Jingzhou
Helbig, Hermann
Helfman, Jonathan I.
Heljakka, Ari
Hellan, Lars
Hellwig, Peter
Helmreich, Stephen
Helzerman, Randall A.
Hempelmann, Christian F.
Hemphill, Charles T.
Hemsen, Holmer
Henderer, Joe
Henderson, James
Henderson, James B.
Henderson, John C.
Hendler, James A.
Hendley, Robert J.
Hendrick, Randall
Hendrickson, Kenneth J.
Hendrix, Gary G.
Hennoste, Tiit
Henrichsen, Peter Juel
Henr�quez Q., Carlos A.
Hepple, Mark
Herath, Dulip
Herbst, Evan
Hering, Horst
Hermet, Matthieu
Hermjakob, Ulf
Hernandez, Alvaro
Hernandez Gomez, Luis A.
Hernandez, Gregorio
Hernandez-Lopez, Daniel
Hernandez, Luis A.
Hernandez, Nicolas
Hern�ndez H., Adolfo
Hern�ndez, Luis A.
Herold, Axel
Herrera, Jesus
Herreros, Ivan
Herring, Joshua
Herring, Patrick
Herweg, Michael
Herz, M. M.
Herzog, Gerd
Herzog, Reinhart
Hess, Michael
Hetherington, Lee
Heuvel, Henk van den
Hewitt, Carl
Hewson, John
He, Xiaodong
Heyer, Gerhard
He, Yifan
Heylen, Dirk
He, Zhongjun
H�ge, Harald
Hickl, Andrew
Hidano, Youichi
Hida, Shinya
Hieronymus, James
Higasa, Wataru
Higashide, Masahiro
Higashinaka, Ryuichiro
Higgins, Derrick
Higuchi, Shinsuke
Higuchi, Tetsuya
Higuera, Colin de la
Hildebrandt, Wesley
Hillard, Dustin
Hill, Jeff
Hill, Simon
Himmel, Dave
Hinarejos, Carlos David Mart�nez
Hincha, Georg
Hindle, Donald
Hinojosa, Ezequiel Andujar
Hino, Kohei
Hinrichs, Erhard W.
Hipp, D. Richard
Hiraga, Yuzuru
Hirakawa, Hideki
Hirano, Toru
Hirao, Tsutomu
Hirasawa, Jun-Ichi
Hirata, Mikito
Hirohata, Kenji
Hiroshige, Makoto
Hiroshi, Ichikawa
Hiroshima, Nobuaki
Hirsimaki, Teemu
Hirst, Graeme
Hisamitsu, Toru
Hishiki, Teruyoshi
Hitaka, Toru
Hitkov, Ruslan
H�nig, Christian
Hoang-Anh, Viet
Hoang, Hung Huu
Hobbs, Jerry R.
Hobbs, Reginald
Hoeft, Thomas
Hoeks, John
Hoemann, Harry W.
Hoenkamp, Edward
Hoepelman, J. Ph.
Hoeppner, Wolfgang
Hof, Alexander
Hofbauer, Konrad
Hoffmann, Holger
Hoffmann, Marcus
Hoffmann, Martial
Hoffmann, Paul
Hoffmeister, Bjoern
Hofmann, Hansj�rg
Hofmann, Thomas R.
Hogan, Christopher
Hogan, Douglas L.
Hogan, James M.
Hog, Jia-Fei
Ho, Hing-Cheung
Hoisl, Bernhard
Holan, Tomas
Holland, Rod
Holt, Alexander
Holub, Martin
Holz, Dieter
Holz, Florian
Hom, Kowloon Hung
Homola, Petr
Honarpisheh, Mohamad Ali
Honda, Takeo
Honeck, Martin
Hong, Bryan Anthony
Hong, Ching Hoi Andy
Hong, Pengyu
Hon, Hsiao-Wuen
Honkela, Timo
Honnibal, Matthew
Hope, David
Hopely, Philip
Hopkins, Mark
Hoppe, Alfred
Horacek, Helmut
Horak, Ales
Hore, Campbell
Horiguchi, Susumu
Hori, Koichi
Hori, Takaaki
Horiuchi, Hiroaki
Horiuchi, Takashi
Horn, David
Horn, Pieter
Horowitz, David
Horvitz, Eric
Hoshiai, Tadashi
Ho, Simon
Ho, Tu Bao
Houfeng, Wang
House, David
Hout, Roeland Van
Hou, Yuexian
Hovermale, DJ
Hovy, Dirk
Hovy, Eduard H.
Howard, Tom
Hoyt, Frederick M.
Hoyt, Jeffrey
Hric, Jan
Hruschka Junior, Estevam Rafael
Hr�z, Marek
Hsiao, Kai-Yuh
Hsiao, Roger
Hsieh, Cho-Jui
Hsieh, Shu-Kai
Hsieh, Yu-Ming
Hsiung, Alain
Hsu, Bo-June (Paul)
Hsu, Wei-Tek
Hsu, Wen-Lian
Huang, Bryant
Huang, Changning
Huang, Chu-Ren
Huang, Degen
Huang, Fang
Huang, Fei
Huang, HaiXiang
Huang, Hung-Chi
Huang, James
Huang, Jian
Huang, JinHu
Huang, Jui-Ting
Huang, Jyun-Wei
Huang, Liang
Huang, Minlie
Huang, Qiang
Huang, Shang-Ming
Huang, Thomas
Huang, Ting-Hao
Huang, Xiuming
Huang, Xuedong
Huang, Yu-Fen
Huang, Zhiheng
Huang, Zhongqiang
Hubal, Robert
Hubbell, James
Huber, Alexander
Huber, Edmund
Hu, Changjian
Huckle, Christopher C.
Huckstorf, Axel
Hu, Dawei
Hu, Dong Cheng
Hudson, Richard A.
Huenerfauth, Matt
Huerta, Juan
Huet, Gerard
Huet, St�phane
Huffaker, David
Huggins-Daines, David
Huggins, Jonathan
Hughes, Baden
Hughes, John
Hughes, Thad
Hughson, Ian
Hugosson, Asa
Hui, Bowen
Huijbregts, Marijn
Huiming, Duan
Hu, Junfeng
Hukari, Thomas E.
Hulden, Mans
Hull, Jonathan J.
Hull, Richard
Humphreys, Kevin
Hung, Chen-Ming
Hung, Chihli
Hung, Hsi-Chuan
Hung, Hsieh-Chuan
Hung, K. Y.
Hung, Peng-Hsiang
Hunter, Jim
Hunter, Lawrence
Hunter, Phillip
Hunt, Melvyn
Hunt, Steve
Hunt, Warren A.
Hunze, Rudolf
Hu, Qian
Hurskainen, Arvi
Hurst, Matthew
Hurtado, Llu�s F.
Hurum, Sven
Hur, Wook
Hussain, Sarmad
Hussmann, Michael J.
Hutchens, Jason L.
Hutches, David J.
Hutchins, Edwin L.
Hutchinson, Ben
Hu, Xia
Hu, Xiaoguang
Hu, Xinhui
Huyck, Christian
Huyghe, Richard
Huynh, Cong-phap
Hu, Zhangzhi
Hwang, Kyu-Baek
Hwang, Kyuwoong
Hwang, Yi-Gyu
Hyde, Clinton
Hying, Christian
Hyland, Rob
Hyvonen, Eero
Iacobelli, Francisco
Ibrahim, Ali
Ibrahim, Hossam
Ibrahim, Hussny
Ibushi, Katsutoshi
Ichii, Koji
Ichioka, Kenichi
Ichiyama, Shunji
Idiart, Marco
Ienco, Dino
Iftene, Adrian
Igel, Stefan
Iglesias, Gonzalo
Igo, Sean
Iida, Hitoshi
Iida, Ryu
IJdens, Jan
Ikeda, Daisuke
Ikeda, Hiroshi
Ikeda, Hisashi
Ikeda, Satoshi
Ikeda, Takahiro
Ikeda, Yuuji
Ikehara, Satoru
Ikonomov, Nikola
Ikuta, Toshikazu
Ilarionov, Ilarion
Ilgen, Marc R.
Ilhan, H. Tolga
Illouz, Gabriel
Imai, Hiroki
Imai, Hisao
Imai, Takeshi
Imamura, Kenji
Imamura, Makoto
Imanishi, Tadashi
im, Haldur
Inagaki, Hirohito
Inagaki, Yasuyoshi
inen, Matti
Infante-Lopez, Gabriel
Ingersoll, Grant
Ingleby, Michael
Ingram, John
Ingria, Robert J. P.
Inouye, R. Bryce
Inui, Kentaro
Inui, Nobuo
Inui, Takashi
Inui, Toshio
Inutsuka, Yusuke
Iomdin, Leonid
Ion, Radu
Ipeirotis, Panagiotis
Ipsic, Lvo
Ircing, Pavel
Ireson, Neil
Iria, Jos
Iria, Jos�
Irwin, Joseph
Isaac, Antoine
Isabelle, Pierre
Isahara, Hitoshi
Isard, Stephen
Isenhour, Phil
Ishihara, Koichiro
Ishii, Masayuki
Ishikawa, Akira
Ishikawa, Hiroshi
Ishikawa, Shogo
Ishikawa, Tetsuya
Ishimoto, Arata
Ishimoto, Hiroyuki
Ishioka, Tsunenori
Ishizaki, Masato
Ishizaki, Shun
Ishizuka, Mitsuru
Islam, Aminul
Islam, Zahurul
Isoda, Michio
Isogai, Shuntaro
Isozaki, Hideki
Israel, David J.
Issar, Sunil
Istace, Olivier
Isu, Naoki
Itagaki, Masaki
Itahashi, Shuichi
Itai, Alon
Itamar, Einav
Itami, Makoto
Ito, Akira
Itoh, Hideo
Itoh, Kohji
Itoh, Nobuyasu
Itoh, Takayuki
Itoh, Toshihiko
Itoh, Yoshiaki
Itoh, Yuichi
Itoh, Yukihiro
Ito, Kazunari
Ito, Takahiko
Itou, Katunobu
Ittycheriah, Abraham
Ittycheriah, Midhun
Ivanov, Alexei V.
Ivanovic, Edward
Iverson, Eric
Iwahashi, Naoto
Iwakura, Tomoya
Iwano, Koji
Iwasaki, Hideya
Iwatate, Masakazu
Iwayama, Makoto
Izagirre, Eli
Izquierdo, Ruben
Izumida, Yoshio
Jackendoff, Ray
Jackson, Eric
Jacobs, Aaron J.
Jacobson, R. Dan
Jacobs, Paul S.
Jacquemin, Bernard
Jacquemin, Christian
Jacquet, Guillaume
Jaeger, T. Florian
Jagadish, H. V.
Jagarlamudi, Jagadeesh
Jager, Samson de
Jahr, Michael
Jain, Prateek
Jain, Viren
Jairam, Arvind
Jakeway, Bruce
Jakopin, Primo
Jalan, Vaibhav
, Jan
Janarthanam, Srinivasan
Jancsary, Jeremy
Jan, Dusan
Jang, Myung-Gil
Jang, Seok B.
Jang, Tae-Yeoub
Janíček, Miroslav
Janin, Adam
Jankowski Jr., Charles R.
Jansche, Martin
Jansen, Peter J.
Jan, Shyh-Yi
Janssen, Maarten
Janssen, Wil
Janus, Daniel
Jappinen, Harri
Jardino, Michele
Jarecki, Stanislaw
Jarrell, Bruce
Jarvinen, Jouni
Jarvinen, Timo
Jarvis, Peter
Jaspaert, Lieven
Jassem, Krzysztof
Jaworski, Wojciech
Jayarajan, Dinakar
Jayaraman, Shyamsundar
Jayez, Jacques
Jean-Marie, Francois
Jedynak, Bruno
Jelasity, M&#225
Jelinek, Frederick
Jellinghaus, Michael
Jensen, Lars J.
Jeong, Minwoo
Jeon, Hyungbae
Jeon, Je Hun
Jern, Alan
Jerry, Ye
Jeuniaux, Patrick
Jha, Girish Nath
Jia-Jun, Chen
Jiampojamarn, Sittichai
Jiang, Hongfei
Jiang, Jianmin
Jiang, Long
Jiang, Wenbin
Jiang, Xue
Jiang, Zheng Ping
Jianshuo, Huang
Jichuan, Zhang
Ji, Donghong
Ji, Hyungsuk
Jijkoun, Valentin
Jimenez-Salazar, Hector
Jin, Chengguo
Jingbo, Zhu
Jin, Meixun
Jin, Qin
Jin, Zhen
Jin, Zhihui
Ji, Paul D.
Jirku, Petr
Ji, Shihao
Jitkrittum, Wittawat
Jmaiel, Mohamed
J�nsson, Arne
Joanis, Eric
Jochim, Charles
Johannessen, Janne Bondi
Johansson, Christer
Johansson, Richard
Johnson, Aaron
Johnson, Christopher
Johnson, Dale
Johnson, David E.
Johnson, Howard
Johnson, Kenneth
Johnson, Mark
Johnson, Matthew
Johnson, Michael T.
Johnson, Neil
Johnson, Rod L.
Johnson, Stephen B.
Johnston, Michael
Johnston, Trevor
Joho, Hideo
Jon, Chamberlain
Jones, Bernard E. M.
Jones, Craig
Jones, Danny
Jones, Dominic R.
Jones, Douglas A.
Jones, Gareth
Jones, Mark Alan
Jones, Michael P.
Jones, Rhys James
Jongejan, Bart
Jonnalagadda, Siddhartha
Jonsson, Arne
Jordan, Desmond A.
Jordan, Michael I.
Jordan, Patrick
Jorgensen, Joseph
Jorgensen, Stig W.
, Jos&#233
Josan, Gurpreet Singh
Jose, Damien
Joseph, Brian
Joseph, Mark
Joshi, Aravind K.
Joshi, Ashutosh
Joshi, Mahesh
Joshi, Sachindra
Joshi, Shiv Sharma
Josselson, Harry H.
Jost, Patrick
Joty, Shafiq R.
Joubert, Alain
Jouis, Christophe
Jovicic, Slobodan
Joyce, John D.
Joyce, Terry
Juan, Alfons
Juan-C�scar, Alfons
Judge, John
Julia, Luc
Jung, Hagen
Jung, Hanmin
Jung, Han-Min
Jung, Hyuckchul
Jung, Jaeyoung
Jung, Sangkeun
Jung, Sung Young
Jun-Sheng, Zhou
Jun, Zhao
Juola, Patrick
Jurafsky, Daniel
Jurie, Pierre Fran�ois
Jurkiewicz, Zbigniew
Justeson, John S.
Just, Marcel
Just, Marcel Adam
Jutras, Jean-Marc
Jyh, Paul Wu Horng
Kaalep, Heiki Jaan
Kaalep, Heiki-Jaan
Kabadjov, Mijail
Kacic, Zdravko
Kacmarcik, Gary
Kac, Michael B.
Kadri, Youssef
Kaemareik, Gary
Kagaya, Ryohei
Kageura, Kyo
Kaggal, Vinod
Kahane, Sylvain
Kahn, Dan
Kahn, Jeremy G.
Kaiser, Edward C.
Kaisser, Michael
Kaja, Jaan
Kaji, Hiroyuki
Kaji, Nobuhiro
Kajino, Masayuki
Kaji, Yuichi
Kakegawa, Jun-ichi
Kakegawa, Jun'ichi
Kakigahara, Koji
Kakimoto, Toshihiro
Kaki, Satoshi
Kakkonen, Tuomo
Kalaydijev, Ognyan
Kalita, Jugal K.
Kaljurand, Kaarel
Kallonis, Spyros
Kalman, Laszlo
Kalmar, Paul
Kalra, Virinder S.
Kalt, Tom
Kamata, Kazuo
Kambayashi, Yahiko
Kambhatla, Nanda
Kamboj, Sachin
Kameda, Masayuki
Kamei, Greg
Kamei, Shin-ichiro
KAMEI, Shin-ichiro
Kamir, Dror
Kampmann, Frank
Kamps, Jaap
Kamps, Thomas
Kamvar, Sepandar D.
Kanamaru, Toshiyuki
Kanayama, Hiroshi
Kanazawa, Makoto
Kanda, Hisayuki
Kanda, Naoyuki
Kaneda, Shigeo
kaneji, Kengo
Kanejiya, Dharmendra
Kane, Matthew
Kang, Byeong-Kwu
Kang, In-Ho
Kang, Jaeho
Kang, Jung-Goo
Kang, Seung Shik
Kang, Sin-Jae
Kan, Min-Yen
Kannan, Ashvin
Kannan, Ravi
Kanovich, Max I.
Kano, Yoshinobu
Kanthak, Stephan
Kantor, Paul B.
Kantrowitz, Mark
Kao, Michael B.
Kapadia, Sadik
Kapah, Oren
Kaplan, Dain
Kaplan, Frederic
Kaplan, Randy M.
Kaplan, Ronald
Kaplan, Ronald M.
Kaplan, S. Jerrold
Kappeler, Thomas
Kapur, Shyam
Kapustin, Victor
Karaiskos, Vasilis
Karakatsiotis, George
Karakos, Damianos
Karamanis, Nikiforos
Karamuftuoglu, Murat
Karande, Arjun
Kareem, Omer
Karger, David
Karger, David R.
Karkaletsis, Vangelis
Karlgren, Hans
Karlgren, Jussi
Karlin, Robin F.
Karlsson, Fred
Karlstrom, Petter
Karp, Daniel
Kasahara, Kaname
Kasami, Tadao
Kasami, Tomohiko
Kashani, Mehdi M.
Kasher, Asa
Kashima, Hisashi
Kashioka, Hideki
Kashket, Michael B.
Kasper, Robert T.
Kasper, Walter
Kassaei, Mahmoud
Kass, Alex
Kass, Ariel
Kass, Robert
Kastner, Itamar
Katagiri, Yasuhiro
Kataoka, Ryoji
Kate, Rohit
Kate, Rohit J.
Kathol, Andreas
Katoh, Naoto
Kato, Naoki
Kato, Naoto
Kato, Shingo
Kato, Shuhei
Kato, Susumu
Kato, Tsuneaki
Kato, Yoshihide
Kato, Yoshikiyo
Katragadda, Rahul
Katrin, Tomanek
Katsumaru, Masaki
Katz, Boris
Katz, Graham
Katz, Phil
Katz, Slava M.
Kauchak, David
Kaufmann, Stefan
Kaufmann, Tobias
Kaufmann, Todd
Kawabata, Takeshi
Kawada, Tsutomu
Kawaguchi, Nobuo
Kawaguchi, Yasunobu
Kawahara, Daisuke
Kawahara, Tatsuya
Kawai, Atsuo
Kawamori, Masahito
Kawasaki, Zenshiro
Kawata, Yasuhiro
Kayaalp, Mehmet
Kaye, Jonathan
Kay, Martin
Kay, Roderick
Kazakov, Dimitar
Kazama, Jun'ichi
Kazawa, Hideto
Kazemzadeh, Abe
Kazi, Zunaid
Keane, John
Kearns, Michael S.
Kedia, Piyush
Keenan, Thomas A.
Keeney, John
Kehagias, Athanasios
Kehler, Andrew
Kehler, T. P.
Keim, Greg A.
Keizer, Simon
Kelana, Eka
Kelleher, D. John
Kelleher, John D.
Keller, Bill
Keller, Frank
Kellermann, Walter
Kelly, Colin
Kelly, Robert
Kemighan, Mark D.
Kempe, Andre
Kempen, Gerard
Kemper, Brian
Kemps-Snijders, Marc
Kennedy, Alistair
Kennedy, Brandon
Kennedy, Christopher
Kennington, Casey
Kenny, Patrick
Kenyon, Dorry M.
Kepser, Stephan
Keri, Venkatesh
Kerminen, Antti
Kerpedjiev, Stephan M.
Kerre, Etienne
Kershenbaum, Aaron
Keselj, Vlado
Kese, Ralf
Keshtkar, Fazel
Keson, Britt
Kesseler, Marcus
Kesselheim, Michael
Kessler, Brett
Kessler, Jason
Ketabdar, Hamed
Keyser, Paul
Khadivi, Shahram
Khajour, Abdelaziz
Khalid, Mahboob
Khalilov, Maxim
Khandelwal, Vikash
Khan, Imtiaz Hussain
Khan, M. A.
Khan, Muhammad Aamir
Khan, Shahzad
Khapra, Mitesh M.
Khayyamian, Mahdy
K�hler, Joachim
Khoo, Christopher S. G.
Khot, Tushar
Khudanpur, Sanjeev P.
Kibble, Rodger
Kida, Mitsuhiro
Kidawara, Yutaka
Kidwell, Paul
Kiefer, Bernd
Kiefer, Ferenc
Kielty, John
Kiem, Hoang
Kienast, Gert
Kiessling, Andreas
Kietz, Jorg-Uwe
Kijsirikul, Boonserm
Kikuchi, H.
Kikuchi, Norihiro
Kikui, Genichiro
Kikui, Gen-Itiro
Kilbury, James
Kilgariff, Adam
Kilgarriff, Adam
Kilgour, Jonathan
Kilicoglu, Halil
Kim, Albert
Kim, Anthony
Kimball, Owen
Kimber, Don
Kim, Byeongchang
Kim, Byeong Man
Kim, Deok-Bong
Kim, Donghyun
Kim, Dong-Il
Kim, Gilchang
Kim, Harksoo
Kim, Hyeon-Jin
Kim, Hyouk-Keun
Kim, Jae Dong
Kim, Jae-Ho
Kim, Jee-Hyub
Kim, Jin-Dong
Kim, Jong-Bok
Kim, Jong Wan
Kim, Joungbum
Kim, Jungi
Kim, Jung-Jae
Kim, Jun-Tae
Kim, Kilyoun
Kim, Kyoung-Young
Kim, Kyungduk
Kim, Sang-Bum
Kim, Seokhwan
Kim, Seongyong
Kim, Seonho
Kim, Seunghi
Kim, Soo-Hong
Kim, Sung Dong
Kim, Taewan
Kimura, Fuminori
Kimura, Kazuhiro
Kimura, Kenji
Kimura, Shinichi
Kimura, Yukihiko
Kim, Woosung
Kim, Yeun-Bae
Kim, Yoonkwan
Kim, Young-Kil
Kim, Youngwhan
Kim, Yung Taek
Kim, Yu-Seop
Kimzey, Jim
King, Gary
King, Irwin
King, James
King, Jonathan
King, Josh
King, Paul John
King, Paul L.
Kingsbury, B.
Kingsbury, Brian
Kingsbury, Paul
Kinoshita, Akinori
Kinoshita, Satoshi
Kinoshita, Shuhei
Kinsella, Thomas
Kinukawa, Hiroshi
Kinzey, Jim
Kipp, Michael
Kiraz, George
Kiraz, George Anton
Kirby, Simon
Kirchmann, Heinz
Kirchner, Jesse
Kireyev, Kirill
Kiriyama, Shinya
Kirschenbaum, Amit
Kirsch, Harald
Kirschner, Manuel
Kirschner, Zdenek
Kirsten, Mathias
Kirtman, Smart E.
Kiryakov, Atanas
Kis, Balazs
Kishida, Kazuaki
Kishida, Masahiro
Kishino, Fumio
Kiss, Tibor
Kita, Kenji
Kitamura, Keisuke
Kitani, Tsuyoshi
Kitano, Hiroaki
Kitaoka, Norihide
Kitazawa, Shigeyoshi
Kit, Chunyu
ki, Teemu
Kitsuregawa, Masaru
Kitt, Chunyu
Kittredge, Richard
Kity, Chunyu
Kiyono, Masaki
Kiyota, Yoji
Kizawa, Makoto
Kjaersgaard, Poul Soren
Klabunde, Ralf
Kladis, Basilis
Klakow, Dietrich
Klapaftis, Ioannis
Klappholz, David
Klarner, Martin
Klassmann, Alex
Kleeman, Alex
Klein, Dan
Kleinecke, David
Kleiner, Stefan
Klein, Ewan
Klein, Gary
Klein, Sheldon
Kleinz, Jorg
Kleiweg, Peter
Klementiev, Alexandre
Klenner, Manfred
Kliegl, Reinhold
Klingberg, Tor
Klinger, Allen
Klippel, Alex
Kloosterman, Geert
Kluck, Michael
Knaus, Rodger
Kn�bl, Ralf
Knight, Kevin
Knippen, Robert
Knoll, Alois
Knopp, Johannes
Knorz, Gerhard
Knott, Alistair
Kobayakawa, Takeshi
Kobayashi, Daisuke
Kobayashi, Ichiro
Kobayashi, Masahiro
Kobayashi, Yutaka
Kobsa, Alfred
Koch, Gregers
Kochman, Fred
Koch, Ulrich
Kocsor, Andras
Kodama, Yasuhiro
Ko, David
Koedinger, Kenneth
Koehler, Florian
Koehn, Philipp
Koeling, Rob
Koenitz, Bernd
Kogan, Shimon
Kogure, Kiyoshi
Kogure, Satoru
Kohda, Masaki
Kohl, Dieter
Kohlhase, Michael
Kohomban, Upali Sathyajith
Koike, Chimato
Koivula, Jeppe
Ko, Jeongwoo
Kojima, Hiroyuki
Kojima, Takeyuki
Kokkinakis, Dimitrios
Kokkinakis, George K.
Ko, K. T.
Kolachina, Sudheer
Kolak, Okan
Koller, Alexander
Koller, Thomas
Kolluru, BalaKrishna
Kolomiyets, Oleksandr
Komachi, Mamoru
Komagata, Nobo
Komatani, Kazunori
Komatsu, Eiji
Komatsu, Hisashi
Komatsu, Yasunori
Komine, Kazuteru
Kominek, John
Kommenda, Markus
Kompe, Ralf
Konagaya, Akihiko
Kondadadi, Ravikumar
Kondoh, Yohsuke
Kondo, Shozo
Kondrak, Grzegorz
Kong, Fang
Kong, Tang Enya
Kongyoung, Sarawoot
Konolige, Kurt
Konrad, Karsten
Konstantopoulos, Stasinos
Konstas, Ioannis
Konyves-Toth, Michael
Koolen, Marijn
Koomen, Peter
Koontz, Eugene
Koontz-Garboden, Andrew
Koo, Terry
Koperski, Krzysztof
Kopotev, Mikhail
Koppel, Moshe
Kopp, Stefan
Korb, Joel
Korb, Kevin B.
Kording, Konrad P.
Korkmaz, Emin Erkan
Korkontzelos, Ioannis
Korkrmaz, Turgay
Kornai, Andr�s
Korner, Fabian
Korst, Jan
Korte, Hannes
Korthals, Christian
Korycinski, Chris
Kosawat, Krit
Koshino, Hideya
Koskenniemi, Kimmo
Kosslyn, Stephen Michael
Kostadinov, Fabian
Kostoulas, Theodoros
Kosy, Donald W.
Kotani, Katsunori
Kotani, Yoshiyuki
Kothari, Govind
Kotnik, Bojan
Kotsanis, Yannis
Kouji, Tamura
Kountz, Manuel
Kovarik, John J.
Kowatch, Robert
Kow, Eric
Ko, Wunna Ko
Koyama, Makoto
Koyama, Takahiro
Koyama, Teruo
Koyama, Yasuo
Ko, Youngjoong
Kozawa, Shunsuke
Kozima, Hideki
Kozlowski, Raymond
k, Pavel
Kraaij, Wessel
Kracht II, Marcus
Krahmer, Emiel
Kraif, Olivier
Kralik, Jan
Krallinger, Martin
