Aarseth, Paul
Basile, Pierpaolo
Basili, Roberto
Bas, Johan
Baskaran, Sankaran
Basu, Anupam
Batagelj, Vladimir
Batchelor, Colin R.
Bateman, John A.
Batista, Fernando
Batliner, Anton
Batlle, Eloi
Batori, Istvan
Battista, Marco
Baudrion, Philippe
Baud, Robert
Bauer, Travis L.
Baumann, Stefan
Baumann, Timo
Baumgartner Jr., William A.
Bayer, Samuel
Bazillon, Thierry
Beale, Andrew David
Beale, Stephen
Beal, Matthew J.
Beamer, Brandon
Bean, David L.
Bear, John
Beaugendre, Fr�d�ric
Beaumont, Will de
Beaven, John L.
Beaver, David
Beavers, John
Becerra, Javier
Bechet, Denis
Bechet, Fr�d�ric
Bechet, Frederic
Beck, David
Becker, Joseph D.
Becker, Lee A.
Becker, Markus
Becker, Tilman
Becket, Ralph
Beckstein, C.
Bedaride, Paul
Beebe, Ralph D.
Beeferman, Doug
Beesley, Kenneth  R.
Beesley, Kenneth R.
Begeja, Lee
Bei, Ben
Beierle, Christoph
Beigman, Eyal
Beil, Franz
Beineke, Philip
Bejan, Cosmin Adrian
Bejar, Isaac
Bejček, Eduard
Bekavac, Bozo
Bekkerman, Ron
Bekki, Daisuke
Belenko, Dmitriy
Belew, Richard K.
Belkin, Mikhail
Belkin, N. J.
Bellare, Kedar
Bell, Benjamin
Bellegarda, Jerome
Beller, Gregory
Bell, Matthew
Beltran-Ferruz, Pablo
Belvin, Robert S.
Bemstein, Jared
Benajiba, Yassine
Beňa, Peter
Benavent, Francesc
Bender, Oliver
Benedict, Richard
Benedi, Jose Miguel
Bengio, Samy
Bengio, Yoshua
Bengoetxea, Kepa
Bengtson, Eric
Ben Hamadou, Abdelmajid
Bennamoun, Mohammed
Bennett, Andrew
Bennett Novak, Gordon
Bennett, Paul N.
Bennett, Scott W.
Bennett, Winfield S.
, Beno&#238
Benra, Jorg
Bensaid, Amine
Bensley, Jeremy
Benson, David B.
Benson, R. A.
Benus, Stefan
Benyon, David
Berant, Jonathan
Berber Sardinha, Tony
Berck, Peter
Berendsen, Egon
Berg, Ansu
Berger, Adam L.
Berg-Kirkpatrick, Taylor
Berglund, Anders
Bergmair, Richard
Bergmann, Carsten
Bergsma, Shane
Bergstra, James
Berland, Matthew
Berlanga-Llavori, Rafael
Berment, Vincent
Bernick, Philip
Bernsen, Niels Ole
Bernstein, Jared
Bernth, Arendse
Berrendonner, Alain
Berry, Simon
Berthelin, Jean-Baptiste
Bertolo, Stefano
Bertran, Manuel
Berwick, Robert C.
Besacier, Laurent
Besan�on, Romaric
Besemer, David J.
Bes, Gabriel G.
Bessieres, Philippe
Bestgen, Yves
Bethard, Steven
Betteridge, Justin
Bett, Michael
Betz, Jonathan
Bhagat, Rahul
Bhandari, Harendra
Bhanuprasad, Kamadev
Bharathi, Akshar
Bharati, Akshar
Bhardwaj, Anurag
Bhargava, Aditya
Bhatia, Tej K.
Bhattacharya, Indrajit
Bhattacharya, Suvankar
Bhattacharya, Tanmoy
Bhattacharyya, Pushpak
Bhattacharyya, Sayan
Bhatt, Rajesh
Bhembe, Dumisizwe
Bhowmick, Plaban Kumar
Bhutada, Pravin
Biadsy, Fadi
Bianchi, Dario
Bian, Guo-Wei
